iter	Passed	Remaining
0	49	49663
1	51	25527
2	52	17376
3	53	13307
4	54	10897
5	55	9251
6	56	8061
7	57	7136
8	58	6479
9	59	5925
10	60	5447
11	61	5072
12	62	4757
13	63	4506
14	65	4268
15	65	4055
16	66	3866
17	67	3709
18	69	3564
19	70	3439
20	71	3320
21	71	3196
22	72	3096
23	73	3005
24	75	2925
25	76	2849
26	77	2781
27	78	2715
28	79	2651
29	80	2593
30	81	2537
31	82	2487
32	83	2440
33	84	2400
34	85	2359
35	86	2320
36	87	2277
37	88	2238
38	89	2200
39	90	2160
40	90	2126
41	91	2091
42	92	2059
43	93	2031
44	94	2006
45	95	1977
46	96	1951
47	97	1925
48	97	1900
49	98	1878
50	99	1853
51	100	1831
52	101	1807
53	101	1783
54	102	1759
55	102	1735
56	103	1711
57	103	1688
58	104	1665
59	104	1644
60	105	1622
61	105	1600
62	106	1580
63	106	1559
64	107	1540
65	107	1521
66	107	1502
67	108	1481
68	108	1464
69	108	1447
70	109	1432
71	109	1417
72	110	1402
73	110	1387
74	111	1373
75	111	1359
76	112	1345
77	112	1331
78	113	1319
79	113	1306
80	114	1294
81	114	1282
82	115	1271
83	115	1260
84	115	1247
85	116	1236
86	116	1225
87	117	1216
88	117	1207
89	118	1198
90	119	1189
91	119	1179
92	120	1170
93	120	1162
94	121	1152
95	121	1144
96	122	1135
97	122	1127
98	123	1119
99	123	1111
100	124	1103
101	124	1094
102	124	1086
103	125	1078
104	125	1071
105	126	1063
106	126	1056
107	127	1049
108	127	1042
109	127	1035
110	128	1028
111	128	1021
112	129	1014
113	129	1008
114	130	1001
115	130	995
116	131	989
117	131	984
118	132	977
119	132	972
120	133	966
121	133	961
122	133	954
123	134	948
124	134	943
125	135	938
126	135	933
127	136	927
128	136	922
129	137	917
130	137	912
131	138	908
132	138	903
133	139	898
134	139	894
135	140	889
136	140	885
137	140	880
138	141	875
139	141	871
140	142	868
141	143	864
142	143	859
143	143	855
144	144	851
145	144	847
146	145	843
147	145	839
148	146	835
149	146	831
150	147	827
151	147	823
152	148	819
153	148	815
154	148	812
155	149	808
156	149	804
157	150	800
158	150	796
159	151	793
160	151	789
161	151	786
162	152	782
163	152	779
164	153	775
165	153	772
166	154	768
167	154	765
168	155	762
169	155	759
170	155	755
171	156	752
172	156	749
173	157	746
174	157	743
175	158	740
176	158	737
177	159	734
178	159	731
179	159	728
180	160	724
181	160	721
182	160	718
183	161	715
184	161	712
185	162	710
186	162	707
187	163	704
188	163	701
189	163	699
190	164	696
191	164	693
192	165	690
193	165	688
194	166	685
195	166	682
196	166	680
197	167	677
198	167	675
199	168	672
200	168	670
201	168	667
202	169	665
203	169	662
204	170	660
205	170	657
206	171	655
207	171	653
208	171	650
209	172	648
210	172	646
211	173	643
212	173	641
213	174	639
214	174	637
215	174	634
216	175	632
